INDEX,YEAR,MN,5HR,6HR,7HR,8HR,9HR,10HR,11HR,12HR,13HR,14HR,15HR,16HR,17HR,18HR,19HR,20HR,DTRAD,BHSS
42701,1999,9,0,0.01,0.2,0.51,0.82,1.04,1.21,1.34,1.28,1.16,1.01,0.69,0.39,0.18,0.01,0,9.84,0
42701,1999,10,0,0,0.1,0.36,0.6,0.73,0.83,0.87,0.94,0.8,0.69,0.58,0.34,0.08,0,0,6.94,0
42701,1999,11,0,0,0.03,0.3,0.48,0.61,0.71,0.74,0.75,0.68,0.62,0.48,0.27,0.05,0,0,5.73,0
42701,1999,12,0,0,0.01,0.24,0.5,0.68,0.79,0.88,0.86,0.81,0.67,0.5,0.26,0.03,0,0,6.25,0
42701,2000,1,0,0,0.02,0.25,0.43,0.54,0.6,0.65,0.63,0.6,0.54,0.42,0.26,0.05,0,0,4.97,0
42701,2000,2,0,0,0.04,0.29,0.57,0.85,0.91,0.99,1.01,0.93,0.82,0.61,0.35,0.08,0,0,7.46,0
42701,2000,3,0,0,0.16,0.49,0.67,0.8,0.86,0.87,0.89,0.89,0.83,0.67,0.45,0.16,0,0,7.74,0
42701,2000,4,0,0.01,0.28,0.56,0.75,0.86,0.9,0.92,0.96,0.93,0.88,0.74,0.55,0.25,0.01,0,8.4,0
42701,2000,5,0,0.05,0.34,0.65,0.84,0.97,1.05,1.05,1.04,1.1,0.81,0.7,0.48,0.3,0.06,0,9.45,0
42701,2000,6,0,0.04,0.33,0.66,0.88,1.09,1.19,1.29,1.26,1.08,1,0.85,0.61,0.28,0.06,0,10.61,0
42701,2000,7,0,0.02,0.21,0.51,0.72,1,1.27,1.27,1.21,1.03,0.89,0.71,0.45,0.2,0.01,0,9.51,0
42701,2000,8,0,0.03,0.26,0.61,0.97,1.22,1.39,1.43,1.39,1.22,0.96,0.73,0.51,0.21,0.02,0,10.96,0
42701,2000,9,0,0.01,0.18,0.45,0.74,1.03,1.08,1.15,1.13,0.99,0.78,0.62,0.37,0.1,0,0,8.63,0
42701,2000,10,0,0,0.11,0.36,0.55,0.69,0.78,0.83,0.87,0.81,0.72,0.54,0.3,0.06,0,0,6.61,0
