STATION,DATETIME,DIFFUSE MJ/m^2,GLOBAL MJ/m^2,YEAR,MONTH,HOUR,HOUR_SIN,HOUR_COS,MONTH_SIN,MONTH_COS,DIRECT MJ/m^2
Ahmedabad,1993-02-15 10:00:00,0.65,2.21,1993,2,10,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,1.56
Ahmedabad,1993-02-15 11:00:00,0.7,2.68,1993,2,11,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,1.9800000000000002
Ahmedabad,1993-02-15 12:00:00,0.71,2.9,1993,2,12,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,2.19
Ahmedabad,1993-02-15 13:00:00,0.72,2.94,1993,2,13,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,2.2199999999999998
Ahmedabad,1993-02-15 14:00:00,0.7,2.66,1993,2,14,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,1.9600000000000002
Ahmedabad,1993-02-15 15:00:00,0.65,2.13,1993,2,15,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,1.48
Ahmedabad,1993-02-15 16:00:00,0.53,1.49,1993,2,16,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.96
Ahmedabad,1993-02-15 17:00:00,0.38,0.74,1993,2,17,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.36
Ahmedabad,1993-02-15 18:00:00,0.1,0.12,1993,2,18,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.01999999999999999
Ahmedabad,1993-02-15 19:00:00,0.0,0.0,1993,2,19,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0
Ahmedabad,1993-02-15 20:00:00,0.0,0.0,1993,2,20,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0
Ahmedabad,1993-03-15 05:00:00,0.0,0.0,1993,3,5,0.9659258262890683,0.25881904510252074,0.8660254037844386,0.5000000000000001,0.0
Ahmedabad,1993-03-15 06:00:00,0.0,0.0,1993,3,6,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,0.0
